Date,Index Value
14/03/2019,3064.07743
15/03/2019,3066.061784
16/03/2019,3074.07199
17/03/2019,3123.926377
18/03/2019,3118.898983
19/03/2019,3123.017554
20/03/2019,3145.058813
21/03/2019,3175.115545
22/03/2019,3148.969244
23/03/2019,3147.407239
24/03/2019,3130.69099
25/03/2019,3129.853012
26/03/2019,3081.304968
27/03/2019,3096.215872
28/03/2019,3154.042343
29/03/2019,3156.971654
30/03/2019,3207.577101
31/03/2019,3217.648292
01/04/2019,2242.029738
02/04/2019,2277.081844
03/04/2019,2642.204274
04/04/2019,2627.267404
05/04/2019,2607.097191
06/04/2019,2654.596655
07/04/2019,2642.634177
08/04/2019,2715.612017
09/04/2019,2785.004015
10/04/2019,2748.978883
11/04/2019,2825.467449
12/04/2019,2722.316343
13/04/2019,2742.076903
14/04/2019,2739.611407
15/04/2019,2769.657942
16/04/2019,2688.493667
17/04/2019,2787.536226
18/04/2019,2811.82326
19/04/2019,2832.256631
20/04/2019,2839.245857
21/04/2019,2873.698098
22/04/2019,2891.965892
23/04/2019,2949.818826
24/04/2019,3079.173996
25/04/2019,3049.991651
26/04/2019,2885.124361
27/04/2019,2894.54628
28/04/2019,2905.768378
29/04/2019,2921.930092
30/04/2019,2937.893076
01/05/2019,2939.359736
02/05/2019,2986.820326
03/05/2019,3044.925263
04/05/2019,3183.745761
05/05/2019,3278.032911
06/05/2019,3244.097384
07/05/2019,3203.189933
08/05/2019,3275.377662
09/05/2019,3404.471418
10/05/2019,3567.297653
11/05/2019,3697.340556
12/05/2019,4174.419239
13/05/2019,4019.404839
14/05/2019,4597.847511
15/05/2019,4617.31554
16/05/2019,4616.866162
17/05/2019,4382.279967
18/05/2019,4109.121586
19/05/2019,4092.501241
20/05/2019,4608.799411
21/05/2019,4509.488105
22/05/2019,4471.278318
23/05/2019,4309.383284
24/05/2019,4458.112038
25/05/2019,4494.189029
26/05/2019,4532.698897
27/05/2019,4927.425024
28/05/2019,4921.891563
29/05/2019,4889.092055
30/05/2019,4829.247919
31/05/2019,4649.660629
01/06/2019,4759.051615
02/06/2019,4783.204864
03/06/2019,4885.035973
04/06/2019,4547.822077
05/06/2019,4276.071555
